name,gender,country,disciplines
TAZEGUL Servet,Male,Türkiye,Taekwondo
BABEL Vincent,Male,Suriname,Taekwondo
GOKTEKIN Yilmaz,Male,Türkiye,Artistic Gymnastics
NURI Tufan,Male,Türkiye,Artistic Gymnastics
GOJKOVIC Vladimir,Male,Montenegro,Water Polo
TOMAS Toni,Male,Great Britain,Taekwondo
LAURA Veljko,Male,Croatia,Taekwondo
MESAROV Dejan,Male,Croatia,Taekwondo
GALAMBOS Bence,Male,Hungary,Taekwondo
MARTON Luana,Female,Hungary,Taekwondo
SALIM Gergely,Male,Hungary,Taekwondo
SALIM Sharif Gergely,Male,Hungary,Taekwondo
MIKKONEN Suvi,Female,Hungary,Taekwondo
ROUSSEAUX Emile,Male,France,Volleyball
ANDRE Felix,Male,France,Volleyball
GAUTHIER Charles,Male,France,Volleyball
TOUPANE Jean Aime,Male,France,Basketball
MELAIN Catherine,Female,France,Basketball
GAUTIER David,Male,France,Basketball
HALIN Gregory,Male,France,Basketball
LEONARD Christophe,Male,France,Basketball
COLLET Vincent,Male,France,Basketball
DONNADIEU Pascal,Male,France,Basketball
ATKINSON Kenny,Male,France,Basketball
NELHOMME Ruddy,Male,France,Basketball
GOMIS Joseph,Male,France,Basketball
CIAMARRA Roberto,Male,France,Volleyball
GEILER Loic,Male,France,Volleyball
GIANI Andrea,Male,France,Volleyball
WENG Shih-Hang,Male,Chinese Taipei,Artistic Gymnastics
TSAI Heng-Cheng,Male,Chinese Taipei,Artistic Gymnastics
SANTARELLI Daniele,Male,Türkiye,Volleyball
FLISI Diego,Male,Türkiye,Volleyball
ZOTTA Andrea,Male,Türkiye,Volleyball
VATANSEVER Recep,Male,Türkiye,Volleyball
DARET Jerome,Male,France,Rugby Sevens
KRUMBHOLZ Olivier,Male,France,Handball
GARDILLOU Sebastien,Male,France,Handball
LEYNAUD Amandine,Female,France,Handball
GALKIN Evgeniy,Male,Uzbekistan,Artistic Gymnastics
ABDUSAMATOV Khusniddin,Male,Uzbekistan,Artistic Gymnastics
MWEMA Kevin,Male,Kenya,Rugby Sevens
AMONDE Andrew,Male,Kenya,Rugby Sevens
KISIA Louis,Male,Kenya,Rugby Sevens
HRUBESCH Horst,Male,Germany,Football
CARLSON Britta,Female,Germany,Football
FUCHS Michael,Male,Germany,Football
NOERENBERG Thomas,Male,Germany,Football
MUKHAMEDOVA Rano,Female,Uzbekistan,Rhythmic Gymnastics
VLASOVA Liliya,Female,Uzbekistan,Rhythmic Gymnastics
KHAN Pavel,Male,Uzbekistan,Taekwondo
RAFALOVICH Maksim,Male,Uzbekistan,Taekwondo
KHAN Vladimir,Male,Uzbekistan,Taekwondo
BAYKUZIYEV Jasur,Male,Uzbekistan,Taekwondo
PAKKAN Saim,Male,Serbia,Volleyball
NISHIIRI Toshihiro,Male,Japan,Football
IKEDA Futoshi,Male,Japan,Football
MIYAMOTO Tomomi,Female,Japan,Football
MENEZES Jude,Male,Japan,Hockey
OZAWA Kazuyuki,Male,Japan,Hockey
ERSIMSEK Ahmetcan,Male,Serbia,Volleyball
ROTHMAN Neville,Male,Ireland,Hockey
GELLE Noemi Katalin,Female,Hungary,Rhythmic Gymnastics
NAGANUMA Atsushi,Male,Japan,Water Polo
HAZUI Shota,Male,Japan,Water Polo
SHIOTA Yoshinori,Male,Japan,Water Polo
KAWAI Mayo,Female,Japan,Artistic Swimming
KASHIMA Tomoyo,Female,Japan,Artistic Swimming
NAKAJIMA Takako,Female,Japan,Artistic Swimming
KAPADZE Timur,Male,Uzbekistan,Football
CHIGODAEV Sergey,Male,Uzbekistan,Football
GILLE Guillaume,Male,France,Handball
MATHE Erick,Male,France,Handball
ALONSO TAPIA Rosendo,Male,France,Taekwondo
ALONSO TAPIA Gulsah,Female,France,Taekwondo
JUNG Woomin,Male,France,Taekwondo
WILLE Jonas,Male,Norway,Handball
EGE Steinar,Male,Norway,Handball
BOQUIST Martin,Male,Norway,Handball
OLSSON Mats,Male,Norway,Handball
HERGEIRSSON Thorir,Male,Norway,Handball
LARSEN Tonje,Female,Norway,Handball
JOERGENSEN Michael,Male,Norway,Taekwondo
DRASOCZKY Imre,Male,Hungary,Artistic Gymnastics
BRUUN Michael,Male,Denmark,Handball
JOERGENSEN Lars,Male,Denmark,Handball
KRONBORG Henrik,Male,Denmark,Handball
JACOBSEN Nikolaj,Male,Denmark,Handball
JENSEN Jesper,Male,Denmark,Handball
SOYEZ Frederic,Male,France,Hockey
SALA Ramon,Male,France,Hockey
LOMBI Jorge,Male,France,Hockey
SZUCS Robert,Male,Hungary,Artistic Gymnastics
TRENKA Janos,Male,Hungary,Artistic Gymnastics
HARVEY Mike,Male,Great Britain,Taekwondo
MAIZEROI Torann,Male,Great Britain,Taekwondo
MILLER Nelson,Male,Great Britain,Taekwondo
STAMPER Martin,Male,Great Britain,Taekwondo
POLJAKOVA Shanna,Female,Germany,Artistic Gymnastics
BELENKI Valeri,Male,Germany,Artistic Gymnastics
CATANOIU Grigore,Male,Germany,Artistic Gymnastics
BRYLOK Hubert,Male,Germany,Artistic Gymnastics
TEMME Kay,Male,Germany,Artistic Gymnastics
PFEFFER Camilla,Female,Germany,Rhythmic Gymnastics
RASKINA Yuliya,Female,Germany,Rhythmic Gymnastics
CAMICIOTTI Giacomo,Male,Germany,Artistic Gymnastics
DUNAVSKA MINEKOVA Kameliya,Female,Germany,Rhythmic Gymnastics
PARECKI Antoni Jerzy,Male,Japan,Handball
SNYMAN Philip,Male,South Africa,Rugby Sevens
LUCKAN Ghafoer,Male,South Africa,Rugby Sevens
GONZALEZ NUNEZ Arlen,Male,Cuba,Taekwondo
SHARABI Yechiam,Male,Israel,Taekwondo
BLECHER SIDOROVA Svetlana,Female,Israel,Artistic Swimming
ABDELRAHMAN Osama,Male,Egypt,Taekwondo
YOUSSEF Mohamed,Male,Egypt,Taekwondo
ZAITSEVA Olesia,Female,Ukraine,Artistic Swimming
SARTYNSKYI Gennadii,Male,Ukraine,Artistic Gymnastics
GORBACHEVA Iryna,Female,Ukraine,Artistic Gymnastics
KAIUKOVA Iuliia,Female,Ukraine,Artistic Gymnastics
DERYUGINA Iryna,Female,Ukraine,Rhythmic Gymnastics
BLOKHINA Iryna,Female,Ukraine,Rhythmic Gymnastics
KARDASH Maryna,Female,Ukraine,Rhythmic Gymnastics
VASYLIEVA Marharyta,Female,Ukraine,Rhythmic Gymnastics
KHOLOD Maryna,Female,New Zealand,Artistic Swimming
RA Sanghyun,Male,Fiji,Taekwondo
KIM Hyou Mi,Female,Korea,Artistic Swimming
ROSILLO ATENCIA Jose Antonio,Male,Norway,Taekwondo
LAI Yawen,Female,China,Volleyball
HERBERT Gordie,Male,Germany,Basketball
