name,gender,country,disciplines
Maximilian MAEDER,Male,Singapore,['Sailing']
Ryan LO,Male,Singapore,['Sailing']
En Yi Letitia SIM,Female,Singapore,['Swimming']
Jonathan Eu Jin TAN,Male,Singapore,['Swimming']
Veronica Shanti PEREIRA,Female,Singapore,['Athletics']
ZAID TAHSEEN,Male,Iraq,['Football']
HUSSEIN AMER,Male,Iraq,['Football']
Bertrand Rhodict ANAK LISES,Male,Malaysia,['Diving']
HUSSEIN LAWEND,Male,Iraq,['Football']
Guanjie Johnathan WONG,Male,Malaysia,['Shooting']
Nur Aisyah MOHAMAD ZUBIR,Female,Malaysia,['Cycling Road']
Nur Shazrin MOHAMAD LATIF,Female,Malaysia,['Sailing']
ALI JASIM,Male,Iraq,['Football']
KARRAR SAAD,Male,Iraq,['Football']
KARRAR MOHAMMED,Male,Iraq,['Football']
NIHAD MOHAMMED,Male,Iraq,['Football']
Camil DOUA,Male,Mauritania,['Swimming']
Caroline CHEW,Female,Singapore,['Equestrian']
Margarita HERNANDEZ FLORES,Female,Mexico,['Athletics']
Arian SALIMI,Male,IR Iran,['Taekwondo']
Mehran BARKHORDARI,Male,IR Iran,['Taekwondo']
Mobina NEMATZADEH,Female,IR Iran,['Taekwondo']
Nahid KIYANICHANDEH,Female,IR Iran,['Taekwondo']
Adam MPALI,Male,Gabon,['Swimming']
Naima-Zahra AMISON,Female,Djibouti,['Swimming']
Paulo STREHLKE DELGADO,Male,Mexico,['Marathon Swimming']
Martha SANDOVAL AYALA,Female,Mexico,['Marathon Swimming']
Alejandra ESTUDILLO TORRES,Female,Mexico,['Diving']
Juan Manuel CELAYA HERNANDEZ,Male,Mexico,['Diving']
Aranza VAZQUEZ MONTANO,Female,Mexico,['Diving']
Reza ALI POUR,Male,IR Iran,['Sport Climbing']
Nima ALAMIAN,Male,IR Iran,['Table Tennis']
Noshad ALAMIYAN,Male,IR Iran,['Table Tennis']
Taha Hussein YASEEN,Male,Iraq,['Athletics']
Tulika MAAN,Female,India,['Judo']
Abraham ANCER,Male,Mexico,['Golf']
Shubhankar SHARMA,Male,India,['Golf']
Gaganjeet BHULLAR,Male,India,['Golf']
Ermias GIRMA,Male,Ethiopia,['Athletics']
Carlos ROJAS,Male,Mexico,['Archery']
Bruno MARTINEZ WING,Male,Mexico,['Archery']
Ana VAZQUEZ,Female,Mexico,['Archery']
Edgar RIVERA,Male,Mexico,['Athletics']
Cecilia TAMAYO-GARZA,Female,Mexico,['Athletics']
Habitam ALEMU,Female,Ethiopia,['Athletics']
Worknesh MESELE,Female,Ethiopia,['Athletics']
Tsige DUGUMA,Female,Ethiopia,['Athletics']
Aditi ASHOK,Female,India,['Golf']
Diksha DAGAR,Female,India,['Golf']
Abdisa FAYISA,Male,Ethiopia,['Athletics']
Ilse GUERRERO,Female,Mexico,['Athletics']
Noel CHAMA,Male,Mexico,['Athletics']
Ricardo ORTIZ,Male,Mexico,['Athletics']
Neda SHAHSAVARI,Female,IR Iran,['Table Tennis']
Mobina FALLAH,Female,IR Iran,['Archery']
Kean Yew LOH,Male,Singapore,['Badminton']
Yong Kai Terry HEE,Male,Singapore,['Badminton']
Wei Han Jessica TAN,Female,Singapore,['Badminton']
Jia Min YEO,Female,Singapore,['Badminton']
Ali LABIB,Male,IR Iran,['Cycling Road']
Farzaneh FASIHI,Female,IR Iran,['Athletics']
Hassan TAFTIAN,Male,IR Iran,['Athletics']
Balraj PANWAR,Male,India,['Rowing']
Shanieka RICKETTS,Female,Jamaica,['Athletics']
Naquille HARRIS,Male,St Kitts and Nevis,['Athletics']
Ali DAVOUDI,Male,IR Iran,['Weightlifting']
Mir Mostafa JAVADI ALIABADI,Male,IR Iran,['Weightlifting']
Diribe WELTEJI,Female,Ethiopia,['Athletics']
Birke HAYLOM,Female,Ethiopia,['Athletics']
Freweyni HAILU,Female,Ethiopia,['Athletics']
Ali AGHAMIRZAEIJENAGHARD,Male,IR Iran,['Canoe Sprint']
Freddy MAYALA,Male,Congo,['Swimming']
Berihu AREGAWI,Male,Ethiopia,['Athletics']
Yomif KEJELCHA,Male,Ethiopia,['Athletics']
Hagos GEBRHIWET,Male,Ethiopia,['Athletics']
Vanessa BOBIMBO,Female,Congo,['Swimming']
Natacha NGOYE,Female,Congo,['Athletics']
Mirabai Chanu SAIKHOM,Female,India,['Weightlifting']
Selemon BAREGA,Male,Ethiopia,['Athletics']
Samuel TEFERA,Male,Ethiopia,['Athletics']
Addisu YIHUNE,Male,Ethiopia,['Athletics']
Biniam MEHARY,Male,Ethiopia,['Athletics']
Ejgayehu TAYE,Female,Ethiopia,['Athletics']
Medina EISA,Female,Ethiopia,['Athletics']
Tsigie GEBRESELAMA,Female,Ethiopia,['Athletics']
ZENG Jian,Female,Singapore,['Table Tennis']
QUEK Izaac,Male,Singapore,['Table Tennis']
Jerome VEGA,Male,Puerto Rico,['Athletics']
Ayden OWENS-DELERME,Male,Puerto Rico,['Athletics']
Rachelle de ORBETA,Female,Puerto Rico,['Athletics']
Gabby SCOTT,Female,Puerto Rico,['Athletics']
Nicholas D'AMOUR,Male,"Virgin Islands, US",['Archery']
Luis CASTRO RIVERA,Male,Puerto Rico,['Athletics']
Macarena CEBALLOS,Female,Argentina,['Swimming']
Jasmine CAMACHO-QUINN,Female,Puerto Rico,['Athletics']
Luc CHEVRIER,Male,Saint Lucia,['Sailing']
Pedro Luis FERNANDEZ GAMBOA,Male,Puerto Rico,['Sailing']
Sebastian C RIVERA,Male,Puerto Rico,['Wrestling']
Ashleyann LOZADA MOTTA,Female,Puerto Rico,['Boxing']
Celia PULIDO ORTIZ,Female,Mexico,['Swimming']
Jaheel HYDE,Male,Jamaica,['Athletics']
Jorge IGA,Male,Mexico,['Swimming']
Agostina HEIN,Female,Argentina,['Swimming']
Mathlynn SASSER,Female,Marshall Islands,['Weightlifting']
Kayla HEPLER,Female,Marshall Islands,['Swimming']
Phillip KINONO,Male,Marshall Islands,['Swimming']
Luis Ramon GARRIDO,Male,Mexico,['Badminton']
Paulina MARTINEZ,Female,Mexico,['Judo']
Prisca AWITI ALCARAZ,Female,Mexico,['Judo']
Mohammad Nabi REZAEI,Male,IR Iran,['Canoe Sprint']
MUSTAFA SAADOON,Male,Iraq,['Football']
Julien ALFRED,Female,Saint Lucia,['Athletics']
Michael JOSEPH,Male,Saint Lucia,['Athletics']
YOUSSEF AMYN,Male,Iraq,['Football']
Gudaf TSEGAY,Female,Ethiopia,['Athletics']
Julyana ALSADEQ,Female,Jordan,['Taekwondo']
Fotyen TESFAY,Female,Ethiopia,['Athletics']
